unit,is_treated,rmspe_pre,rmspe_post,rmspe_ratio
FRAUD (treated),True,0.5692530858970974,0.5394140774408624,0.9475821753180115
NF_V14_d0,False,0.32206762686714124,0.252983309721347,0.7854974813277562
NF_V14_d1,False,0.0890650472715123,0.3023616288868182,3.3948404918607107
NF_V14_d2,False,0.05219872378145173,0.1047865656369526,2.007454551488238
NF_V14_d3,False,0.03855695410361337,0.15392759755293503,3.99221362608904
NF_V14_d4,False,0.018280683340240675,0.08674714260521284,4.74528993203767
NF_V14_d5,False,0.0542498265628342,0.13499490684157964,2.488393334957918
NF_V14_d6,False,0.06521430391758379,0.26637195744002456,4.084563377026286
NF_V14_d7,False,0.022218875445666503,0.186083811890354,8.375032856428707
NF_V14_d8,False,0.10422547987963653,0.2828377010976731,2.7137097514379844
NF_V14_d9,False,0.11134254480819879,0.19167764889694172,1.721513094811422
