TeamId,flag_fraction,flag_std
3681418,0.5,0.5
3417959,0.5,0.5
3664256,0.45,0.49749371855331
3641915,0.45,0.49749371855331
3415361,0.55,0.4974937185533099
3417403,0.55,0.4974937185533099
3418572,0.6,0.48989794855663565
3661602,0.4,0.48989794855663565
3489039,0.6,0.48989794855663565
3529813,0.4,0.48989794855663565
3495001,0.4,0.48989794855663565
3526686,0.6,0.48989794855663565
3586462,0.65,0.47696960070847283
3434439,0.65,0.47696960070847283
3691874,0.35,0.47696960070847283
3424878,0.3,0.45825756949558394
3459657,0.3,0.45825756949558394
3415549,0.3,0.45825756949558394
3628520,0.3,0.45825756949558394
3427609,0.7,0.45825756949558394
3418919,0.7,0.45825756949558394
3427237,0.25,0.4330127018922193
3504443,0.75,0.4330127018922193
3500928,0.25,0.4330127018922193
3470290,0.25,0.4330127018922193
3421659,0.25,0.4330127018922193
3450094,0.75,0.4330127018922193
3424922,0.75,0.4330127018922193
3412658,0.75,0.4330127018922193
3467281,0.2,0.4000000000000001
3583507,0.2,0.4000000000000001
3478576,0.2,0.4000000000000001
3655277,0.8,0.4
3193638,0.8,0.4
3412563,0.85,0.3570714214271425
3492329,0.15,0.3570714214271425
3457629,0.15,0.3570714214271425
3416265,0.15,0.3570714214271425
3420564,0.85,0.3570714214271425
3417308,0.15,0.3570714214271425
3433534,0.15,0.3570714214271425
3514341,0.85,0.3570714214271425
3415629,0.15,0.3570714214271425
3445394,0.1,0.30000000000000004
3495423,0.1,0.30000000000000004
3417598,0.9,0.30000000000000004
3417995,0.1,0.30000000000000004
3433095,0.9,0.30000000000000004
3412299,0.9,0.30000000000000004
3481836,0.1,0.30000000000000004
3689646,0.1,0.30000000000000004
3412664,0.1,0.30000000000000004
3415325,0.1,0.30000000000000004
3580069,0.95,0.21794494717703372
3419711,0.95,0.21794494717703372
3509597,0.95,0.21794494717703372
3515720,0.05,0.21794494717703367
3589565,0.05,0.21794494717703367
3457441,0.95,0.21794494717703367
3483076,0.05,0.21794494717703364
3449140,0.05,0.21794494717703364
3551391,0.05,0.21794494717703364
3510131,0.05,0.21794494717703364
3439502,0.05,0.21794494717703364
