Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames,days_since_start,week,team_size,score_per_submission,log_submissions,score_z
1,3418509,FraudSquad,2019-10-03 23:34:15,0.945884,354,"cdeotte,kyakovlev",135.98211805555556,40,2,0.0026719887005649716,5.872117789475416,0.7095689660571682
2,3412308,2 uncles and 3 puppies,2019-10-03 23:57:43,0.94421,363,"cpmpml,krivoship,sggpls,titericz,tony321",135.99841435185186,40,5,0.002601129476584022,5.8971538676367405,0.693642448986798
3,3415499,Young for you,2019-10-03 09:54:23,0.943769,381,"mahluo,triplelift,yyyzzzwww",135.4127662037037,40,3,0.002477083989501312,5.945420608606575,0.6894467536295495
4,3417195,T.U.V,2019-10-03 18:53:24,0.94258,336,"igloowall,tuunve",135.78708333333333,40,2,0.002805297619047619,5.820082930352362,0.678134550047309
5,3416168,Lions,2019-10-03 19:23:45,0.942453,195,"hmdhmd,naotaka1128,shuheigoda,yryrgogo",135.80815972222223,40,4,0.004833092307692308,5.278114659230518,0.6769262658968092
6,3624004,The Zoo,2019-10-03 21:55:54,0.942391,123,"christofhenkel,dott1718,ebouteillon,maxjeblick,philippsinger",135.91381944444444,40,5,0.007661715447154472,4.820281565605037,0.6763363948942027
7,3415361,Grand Rookie(Done!Good luck to everyone!)）,2019-10-03 15:34:17,0.942314,231,chenxin1991,135.64880787037038,40,1,0.0040792813852813855,5.44673737166631,0.6756038131651595
8,3463830,S.A.R.M.A,2019-10-03 21:48:05,0.942268,398,"alex495240115,arashnic,misaki1111,resistance0108,sugawarya",135.9083912037037,40,5,0.0023675075376884424,5.988961416889864,0.6751661669374194
9,3419126,AlKo,2019-10-03 18:57:33,0.942129,275,"alijs1,kostoglot",135.78996527777778,40,2,0.0034259236363636363,5.62040086571715,0.6738437142057697
10,3417094,M5,2019-10-03 22:42:50,0.94175,399,"chizhu2018,daishu,ilovearsenal,lftuwujie,zhouqingsongct",135.94641203703705,40,5,0.0023602756892230578,5.991464547107982,0.6702378898511276
11,3430067,Flying Whales,2019-10-03 07:19:07,0.941638,331,"kainsama,naka2ka,songwonho,youhanlee,yslee04",135.30494212962964,40,5,0.0028448277945619335,5.805134968916488,0.6691723164270647
12,3418572,邦盛科技小分队,2019-10-03 22:07:34,0.941413,196,"maxduan,newbielch",135.9219212962963,40,2,0.004803127551020408,5.2832037287379885,0.6670316555305102
13,3415334,YuyaYamamoto,2019-10-03 23:49:52,0.941338,135,nejumi,135.99296296296296,40,1,0.0069728740740740746,4.912654885736052,0.6663181018983246
14,3547629,MaYa,2019-10-03 22:50:53,0.941153,39,"engenious,yassertabandeh",135.95200231481482,40,2,0.024132128205128205,3.6888794541139363,0.664558002938935
15,3417995,Mr Lonely ♬,2019-10-03 23:53:36,0.941096,192,fatihozturk,135.99555555555557,40,1,0.004901541666666667,5.262690188904886,0.6640157021784745
16,3606198,spongebob,2019-10-02 23:55:09,0.941011,182,"baomengjiao,h4211819,infzero,pengyan,yangrui777",134.99663194444443,40,5,0.0051703901098901104,5.209486152841421,0.6632070080619981
17,3415008,Taemyung Heo,2019-10-03 12:42:03,0.940934,41,tmheo74,135.52920138888888,40,1,0.022949609756097562,3.7376696182833684,0.6624744263329548
18,3418516,conundrum.ai & Evgeny,2019-10-03 21:18:19,0.940756,129,"chudak,johnpateha,zachanton",135.88771990740742,40,3,0.0072926821705426356,4.867534450455582,0.6607809257125689
19,3495550,クソザコちゃうねん,2019-10-03 23:45:20,0.94073,208,"kurupical,masatomatsui,shogonagano,takoihiraokazu",135.98981481481482,40,4,0.004522740384615385,5.342334251964811,0.6605335604534106
20,3589103,Our AUC says nothing to us,2019-10-03 21:52:17,0.940526,112,"merkylove,tishur",135.91130787037036,40,2,0.008397553571428571,4.727387818712341,0.6585926945738674
21,3603499,bird and fish,2019-10-03 08:59:49,0.94025,201,"betten,hesene,lanjunyelan,whitebird,zhixing629",135.37487268518518,40,5,0.004677860696517413,5.308267697401205,0.6559668172074269
22,3416691,天行健，君子以自强不息；地势坤，君子以厚德载物。,2019-10-02 02:27:43,0.940076,276,"lovedm,meistermorxrc,wjxdjk015,wyldream",134.10258101851852,40,4,0.003406072463768116,5.6240175061873385,0.6543113727807575
23,3493591,Fraudo Baggins,2019-10-03 23:49:41,0.93977,323,"grazder,raimonds1993,stecasasso,tuttifrutti",135.99283564814814,40,4,0.002909504643962848,5.780743515792329,0.6514000739614421
24,3417258,上地西二旗人民,2019-10-03 17:42:22,0.939678,313,"fengari,guziye,poteman,runningz",135.73775462962962,40,4,0.0030021661341853036,5.749392985908253,0.6505247815059619
25,3454621,[ka.kr] boradori,2019-10-03 21:44:56,0.939546,376,"chocozzz,soonhwankwon,sunghun,xkagjaeo05,yeonmin",135.9062037037037,40,5,0.0024987925531914893,5.932245187448011,0.649268927113316
26,3416545,DLMPS,2019-10-03 19:27:48,0.93934,275,"dhc123,longyin2,mathurinache,pheadrus,sid00733",135.81097222222223,40,5,0.003415781818181818,5.62040086571715,0.647309033136914
27,3604901,Apple 2,2019-10-03 04:08:12,0.939319,116,"hugoluo,thousandface1111",135.17236111111112,40,2,0.008097577586206897,4.762173934797756,0.6471092381199027
28,3422597,Happy 70th anniversary to China,2019-10-03 19:11:44,0.939299,214,"crawler3,lishaozhe1992,pengjiaxin,process531,wugetable",135.79981481481482,40,5,0.004389247663551402,5.3706380281276624,0.6469189571513199
29,3421359,SiloMir,2019-10-03 23:48:51,0.939196,281,"psilogram,tpthegreat",135.99225694444445,40,2,0.003342334519572954,5.641907070938114,0.6459390101631194
30,3672432,4idots:runforwin,2019-10-03 23:30:13,0.939147,41,"a123450,bh970118,jiakun89,zhan6643",135.97931712962964,40,4,0.0229060243902439,3.7376696182833684,0.6454728217900911
31,3490674,YoonSoo,2019-10-03 12:06:58,0.939115,116,harangdev,135.50483796296297,40,1,0.008095818965517242,4.762173934797756,0.6451683722403595
32,3415549,Valueless Leaderboard(can not upload file),2019-10-02 00:57:40,0.938158,222,qiaoshiji,134.0400462962963,40,1,0.004225936936936937,5.407171771460119,0.6360634278936782
33,3415073,ai.windywinter.cn,2019-10-03 18:37:49,0.937957,403,"bestpredict,codlife,harshit92,laplaceplanet,tianshuaifei",135.77626157407408,40,5,0.002327436724565757,6.0014148779611505,0.6341511041594222
34,3428987,Davut Polat,2019-10-03 23:58:48,0.937732,2,davutpolat,135.99916666666667,40,1,0.468866,1.0986122886681096,0.6320104432628667
35,3417060,Tomonori Masui,2019-10-03 22:57:18,0.937395,67,tnmasui,135.95645833333333,40,1,0.013990970149253731,4.219507705176107,0.6288042089422482
36,3433550,nel215,2019-10-02 00:04:25,0.937314,65,nel215,134.00306712962964,40,1,0.014420215384615385,4.189654742026425,0.6280335710194883
37,3514341,Alfa_Goose[ods.ai],2019-10-03 22:02:52,0.937208,96,"amsakhnov,redpando,venheads,wispzero,yuratrubitsyn",135.9186574074074,40,5,0.009762583333333333,4.574710978503383,0.6270250818860007
38,3535274,Abandon,2019-10-03 17:39:14,0.937016,99,all2num,135.7355787037037,40,1,0.00946480808080808,4.605170185988092,0.6251983845876061
39,3530387,poxiao[angtk.ai],2019-09-30 16:14:42,0.936983,126,"caobu90283701,poxiaodailaizhe,swsuh2003",132.676875,40,3,0.007436373015873016,4.844187086458591,0.6248844209894452
40,3517507,Public blenders [ods.ai],2019-10-03 21:04:24,0.936576,343,"alexeykupershtokh,nroman,nvarganov",135.87805555555556,40,3,0.002730542274052478,5.840641657373398,0.6210122032787871
41,3433534,lets try not to drop 1000 places,2019-10-03 23:50:37,0.936384,104,"ljjsfe,raddar,returnofsputnik,robikscube",135.9934837962963,40,4,0.009003692307692308,4.653960350157523,0.6191855059803936
42,3549454,Akasyanama,2019-10-03 15:55:51,0.936302,98,akasyanama13,135.66378472222223,40,1,0.009554102040816326,4.59511985013459,0.6184053540092044
43,3475465,Arturo Garcia,2019-10-03 23:50:53,0.936062,138,artmatician,135.99366898148148,40,1,0.006783057971014492,4.9344739331306915,0.616121982386212
44,3530521,Lindada,2019-10-03 16:35:44,0.936035,114,a763337092,135.69148148148147,40,1,0.008210833333333332,4.74493212836325,0.6158651030786253
45,3417785,Alejandro Mosquera,2019-10-03 17:48:55,0.935799,110,x75a40890,135.74230324074074,40,1,0.008507263636363636,4.709530201312334,0.6136197876493505
46,3459422,hoogleraar,2019-10-03 07:27:29,0.935744,95,hoogleraar,135.3107523148148,40,1,0.009849936842105264,4.564348191467836,0.6130965149857479
47,3412373,[ods.ai] SinisterThree,2019-10-01 20:10:31,0.935527,137,"churkinnikita,leonid06,simakov",133.84063657407407,40,3,0.006828664233576642,4.927253685157205,0.6110319664766256
48,3423669,上面有盖,2019-10-01 10:54:45,0.935419,195,xucheng,133.4546875,40,1,0.0047970205128205125,5.278114659230518,0.6100044492462792
49,3509597,Pig Wings,2019-10-03 21:42:56,0.935365,228,"dennislo,keiv84,mikev77",135.9048148148148,40,3,0.004102478070175439,5.43372200355424,0.609490690631106
50,3420362,Siavash,2019-10-03 20:43:01,0.935271,219,siavrez,135.86320601851853,40,1,0.004270643835616438,5.393627546352361,0.6085963700787669
51,3472860,Lining Wang,2019-10-03 13:34:05,0.935133,22,gninilgnaw,135.56533564814814,40,1,0.042506045454545456,3.1354942159291497,0.6072834313955466
52,3540859,Wubba Lubba dub-dub,2019-10-03 05:41:03,0.934923,92,"raphael1123,wendingwang",135.2368402777778,40,2,0.01016220652173913,4.532599493153256,0.605285481225428
53,3461597,Orange Le,2019-10-03 19:53:58,0.934848,84,orangehead,135.82914351851852,40,1,0.011129142857142857,4.442651256490317,0.6045719275932436
54,3617852,Hanmin Qin,2019-09-30 14:29:52,0.934786,81,"hj372586446,qinhanmin,tts233,zhanghao10086",132.60407407407408,40,4,0.011540567901234568,4.406719247264253,0.6039820565906372
55,3451240,Massoud Hosseinali,2019-10-03 22:17:28,0.934525,137,mhviraf,135.9287962962963,40,1,0.006821350364963504,4.927253685157205,0.6014988899506336
56,3427834,jayjay,2019-10-03 18:57:12,0.934504,175,jayjay75,135.78972222222222,40,1,0.005340022857142857,5.170483995038151,0.6012990949336213
57,3628520,InterDog,2019-10-03 23:24:32,0.934321,70,"ar834159672,bjhaidian001,irmadong,lucise,yc4342315",135.97537037037037,40,5,0.013347442857142856,4.2626798770413155,0.5995580240710894
58,3412658,Aleksandr Kosolapov,2019-10-03 21:08:44,0.934,292,jingobox,135.8810648148148,40,1,0.0031986301369863017,5.680172609017068,0.5965040145253382
59,3432274,[Deleted] 356613e5-05ab-4359-8de3-21cb549c439d,2019-10-03 02:07:50,0.933741,184,del=023d758381d3f66f,135.08877314814814,40,1,0.005074679347826087,5.220355825078325,0.5940398759821923
60,3585684,aspirePWDM,2019-10-03 23:31:02,0.933526,23,aspirepwdm,135.97988425925925,40,1,0.04058808695652174,3.1780538303479458,0.5919943555699277
61,3420129,Karsten Tiemann,2019-10-03 20:43:50,0.933501,77,prognosis,135.86377314814814,40,1,0.01212338961038961,4.356708826689592,0.5917565043591999
62,3418565,Louka Ewington-Pitsos,2019-10-03 23:31:44,0.933501,81,lewington,135.98037037037037,40,1,0.011524703703703704,4.406719247264253,0.5917565043591999
63,3461561,心中有只喵,2019-10-01 13:15:33,0.933438,133,flyingwing,133.55246527777777,40,1,0.007018330827067669,4.897839799950911,0.5911571193081642
64,3598656,Gold mining,2019-10-03 22:34:01,0.933436,187,"lucamassaron,pietromarinelli,ryunosukeishizaki,serigne,steubk",135.94028935185185,40,5,0.004991636363636364,5.236441962829949,0.5911380912113064
